fecha,volumen
2020-01-05,51.27
2020-01-06,51.34
2020-01-07,51.37
2020-01-08,51.4
2020-01-09,51.43
2020-01-10,51.47
2020-01-11,51.47
2020-01-12,51.43
2020-01-13,51.43
2020-01-14,51.4
2020-01-15,51.37
2020-01-16,51.43
2020-01-17,51.37
2020-01-18,51.47
2020-01-19,51.4
2020-01-20,51.3
2020-01-21,51.3
2020-01-22,51.4
2020-01-23,51.47
2020-01-24,51.6
2020-01-25,51.85
2020-01-26,52.82
2020-01-27,54.63
2020-01-28,53.12
2020-01-29,61.92
2020-01-30,72.88
2020-01-31,67.18
2020-02-01,71.77
2020-02-02,69.18
2020-02-03,63.45
2020-02-04,55.63
2020-02-05,55.93
2020-02-06,56.17
2020-02-07,56.4
2020-02-09,56.74
2020-02-10,56.91
2020-02-11,57.04
2020-02-12,57.15
2020-02-13,57.28
2020-02-14,57.35
2020-02-15,57.42
2020-02-16,57.45
2020-02-17,57.52
2020-02-18,57.55
2020-02-19,57.58
2020-02-20,57.62
2020-02-21,57.66
2020-02-22,57.72
2020-02-23,57.72
2020-02-24,57.72
2020-02-25,57.72
2020-02-26,57.66
2020-02-27,57.72
2020-02-28,57.62
2020-02-29,57.62
2020-03-01,57.55
2020-03-02,57.58
2020-03-03,57.66
2020-03-04,57.82
2020-03-05,57.93
2020-03-06,57.96
2020-03-07,57.93
2020-03-08,58.03
2020-03-09,58.06
2020-03-10,58.09
2020-03-11,58.17
2020-03-12,58.2
2020-03-13,58.23
2020-03-14,58.23
2020-03-15,58.23
2020-03-16,58.23
2020-03-17,58.58
2020-03-18,58.92
2020-03-19,59.16
2020-03-20,59.33
2020-03-21,59.44
2020-03-22,59.64
2020-03-23,59.88
2020-03-24,60.23
2020-03-25,60.48
2020-03-26,60.76
2020-03-27,60.79
2020-03-28,60.93
2020-03-29,61.08
2020-03-30,61.17
2020-03-31,61.25
2020-04-01,62.31
2020-04-02,63.12
2020-04-03,63.65
2020-04-04,64.09
2020-04-05,64.44
2020-04-06,64.88
2020-04-07,65.31
2020-04-08,65.75
2020-04-09,66.18
2020-04-10,66.81
2020-04-11,67.36
2020-04-12,67.88
2020-04-13,68.28
2020-04-16,71.2
2020-04-17,72.96
2020-04-18,74.08
2020-04-19,75.05
2020-04-20,75.95
2020-04-21,76.69
2020-04-22,77.25
2020-04-23,77.72
2020-04-24,78.12
2020-04-25,78.47
2020-04-26,78.84
2020-04-27,79.07
2020-04-28,79.23
2020-04-29,79.44
2020-04-30,79.51
2020-05-01,79.67
2020-05-02,79.76
2020-05-03,79.92
2020-05-04,79.96
2020-05-05,79.96
2020-05-06,79.96
2020-05-07,79.96
2020-05-08,80
2020-05-09,80.04
2020-05-10,79.88
2020-05-11,79.83
2020-05-12,79.8
2020-05-13,80.44
2020-05-17,81.59
2020-05-18,81.84
2020-05-19,81.91
2020-05-20,81.96
2020-05-21,82.02
2020-05-22,82.02
2020-05-23,82.02
2020-05-24,81.98
2020-05-25,81.93
2020-05-26,81.89
2020-05-27,81.89
2020-05-28,81.8
2020-05-29,81.76
2020-05-30,81.68
2020-05-31,81.56
2020-06-01,81.14
2020-06-02,81.1
2020-06-03,81.02
2020-06-04,80.97
2020-06-05,80.73
2020-06-06,80.69
2020-06-07,80.56
2020-06-08,80.36
2020-06-09,80.17
2020-06-10,80.04
2020-06-11,80
2020-06-12,79.76
2020-06-13,79.64
2020-06-14,79.55
2020-06-15,79.48
2020-06-17,79.16
2020-06-18,79.07
2020-06-19,78.95
2020-06-20,78.75
2020-06-21,78.68
2020-06-22,78.47
2020-06-23,78.35
2020-06-24,78.19
2020-06-25,77.96
2020-06-26,77.8
2020-06-27,77.53
2020-06-28,77.32
2020-06-29,77.16
2020-07-01,76.73
2020-07-02,76.5
2020-07-03,76.18
2020-07-04,75.95
2020-07-05,75.75
2020-07-06,75.59
2020-07-07,75.4
2020-07-08,75.16
2020-07-09,74.82
2020-07-10,74.62
2020-07-11,74.43
2020-07-12,74.19
2020-07-13,74
2020-07-14,73.77
2020-07-15,73.54
2020-07-16,73.31
2020-07-17,73.08
2020-07-18,72.81
2020-07-19,72.66
2020-07-20,72.42
2020-07-21,72.24
2020-07-22,72
2020-07-23,71.82
2020-07-24,71.62
2020-07-25,71.44
2020-07-26,71.2
2020-07-27,70.94
2020-07-28,70.72
2020-07-29,70.49
2020-07-30,70.3
2020-07-31,70.04
2020-08-01,69.78
2020-08-02,69.55
2020-08-03,69.28
2020-08-04,68.99
2020-08-05,68.77
2020-08-06,68.58
2020-08-07,68.4
2020-08-08,68.14
2020-08-09,67.95
2020-08-10,67.76
2020-08-11,67.58
2020-08-12,67.62
2020-08-13,67.5
2020-08-14,67.39
2020-08-15,67.25
2020-08-16,67.03
2020-08-17,66.89
2020-08-18,66.77
2020-08-19,66.63
2020-08-20,66.44
2020-08-21,66.29
2020-08-22,66.15
2020-08-23,65.97
2020-08-24,65.86
2020-08-25,65.68
2020-08-26,65.53
2020-08-27,65.42
2020-08-28,65.28
2020-08-29,64.99
2020-08-30,64.74
2020-08-31,64.55
2020-09-01,64.41
2020-09-02,64.3
2020-09-03,64.16
2020-09-04,64.05
2020-09-05,63.95
2020-09-06,63.8
2020-09-07,63.59
2020-09-08,63.41
2020-09-09,63.26
2020-09-10,63.12
2020-09-11,62.98
2020-09-12,62.87
2020-09-13,62.73
2020-09-14,62.55
2020-09-15,62.45
2020-09-16,62.34
2020-09-17,62.2
2020-09-18,62.24
2020-09-19,62.59
2020-09-20,62.66
2020-09-21,62.66
2020-09-22,62.59
2020-09-23,62.48
2020-09-24,62.45
2020-09-25,62.2
2020-09-26,62.06
2020-09-27,61.95
2020-09-28,61.85
2020-09-29,61.7
2020-09-30,61.56
2020-10-01,61.46
2020-10-04,61.11
2020-10-05,61.04
2020-10-06,60.9
2020-10-07,60.83
2020-10-08,60.76
2020-10-09,60.65
2020-10-10,60.59
2020-10-11,60.41
2020-10-13,60.16
2020-10-14,60.02
2020-10-15,59.85
2020-10-16,59.72
2020-10-21,60.73
2020-10-22,61.39
2020-10-23,62.66
2020-10-24,63.12
2020-10-25,63.45
2020-10-26,63.91
2020-10-27,64.12
2020-10-28,64.3
2020-10-29,64.44
2020-10-30,64.52
2020-10-31,64.63
2020-11-01,64.66
2020-11-03,64.74
2020-11-04,64.7
2020-11-05,64.74
2020-11-06,65.24
2020-11-07,66.29
2020-11-08,67.25
2020-11-09,67.95
2020-11-10,68.43
2020-11-11,68.81
2020-11-12,69.1
2020-11-13,69.33
2020-11-14,69.51
2020-11-15,69.7
2020-11-16,69.85
2020-11-17,69.92
2020-11-18,70.07
2020-11-19,70.15
2020-11-20,70.26
2020-11-21,70.3
2020-11-22,70.3
2020-11-23,70.3
2020-11-24,70.3
2020-11-25,70.34
2020-11-26,70.52
2020-11-27,70.75
2020-11-28,71.2
2020-11-29,71.44
2020-11-30,71.59
2020-12-01,71.7
2020-12-02,71.89
2020-12-03,71.67
2020-12-04,71.77
2020-12-05,71.77
2020-12-06,71.89
2020-12-07,71.92
2020-12-08,71.55
2020-12-09,71.67
2020-12-10,72.88
2020-12-11,74.55
2020-12-12,77.92
2020-12-13,79.28
2020-12-14,80.2
2020-12-15,80.85
2020-12-16,81.42
2020-12-17,81.88
2020-12-18,82.16
2020-12-19,81.72
2020-12-20,81.26
2020-12-21,80.79
2020-12-22,80.27
2020-12-23,80.35
2020-12-24,80.36
2020-12-25,80.61
2020-12-26,80.94
2020-12-27,80.97
2020-12-28,81.01
2020-12-29,81.06
2020-12-30,81.06
2020-12-31,81.01
2021-01-01,81.1
2021-01-02,81.01
2021-01-03,81.06
2021-01-04,81.06
2021-01-05,81.01
2021-01-06,80.89
2021-01-07,80.81
2021-01-08,80.65
2021-01-09,80.85
2021-01-10,80.94
2021-01-11,80.81
2021-01-12,80.73
2021-01-13,80.69
2021-01-14,80.61
2021-01-15,80.61
2021-01-16,80.56
2021-01-17,80.53
2021-01-18,80.53
2021-01-19,80.4
2021-01-21,80.56
2021-01-22,81.17
2021-01-23,81.55
2021-01-26,82.99
2021-01-27,84
